registro_id,proyecto_id,proyecto,departamento,empleado_id,empleado,rol,fecha,tarea,horas,tarifa_hora,costo,presupuesto
1,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,05/01/2026,Documentacion,1.9,170,323,100000
2,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,12/01/2026,Pruebas,3.4,195,663,100000
3,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,14/01/2026,Documentacion,7.2,210,1512,100000
4,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,15/01/2026,Pruebas,1.5,210,315,100000
5,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,16/01/2026,Analisis,4.8,170,816,100000
6,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,19/01/2026,Documentacion,5.9,170,1003,100000
7,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,20/01/2026,Desarrollo backend,3.7,195,721.5,100000
8,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,20/01/2026,Desarrollo frontend,2.2,195,429,100000
9,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,21/01/2026,Correccion de bugs,2.8,210,588,100000
10,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,27/01/2026,Desarrollo backend,5.7,170,969,100000
11,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,27/01/2026,Desarrollo frontend,4.8,170,816,100000
12,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,28/01/2026,Desarrollo frontend,5.3,170,901,100000
13,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,30/01/2026,Reunion,3.8,210,798,100000
14,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,02/02/2026,Reunion,5.4,210,1134,100000
15,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,02/02/2026,Pruebas,4.5,195,877.5,100000
16,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,04/02/2026,Reunion,5.7,195,1111.5,100000
17,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,05/02/2026,Documentacion,3.7,170,629,100000
18,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,06/02/2026,Desarrollo frontend,1.9,170,323,100000
19,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,06/02/2026,Pruebas,2.7,195,526.5,100000
